,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement,Salary,Win_Pct
341,Terrence Shannon Jr.,24.0,MIN,32.0,10.6,4.3,0.482,0.355,0.81,11.9,0.56,0.272,7.7,13.8,1.0,1.4,10.9,17.7,0.6,-2.1,0.0,2674080.0,0.598
342,Oso Ighodaro,22.0,PHO,61.0,17.1,4.2,0.604,0.0,0.58,11.1,0.61,0.011,11.9,9.1,1.3,2.6,15.7,10.5,1.6,-2.6,-0.2,1955377.0,0.439
343,Kris Murray,24.0,POR,69.0,15.1,4.2,0.419,0.225,0.456,9.1,0.472,0.43,9.5,9.0,1.6,1.5,12.4,13.9,0.7,-3.0,-0.3,3132000.0,0.439
344,Duop Reath,28.0,POR,46.0,10.2,4.2,0.422,0.321,0.909,13.7,0.552,0.639,10.6,8.0,1.2,2.7,8.3,17.0,1.0,-0.3,0.2,2221677.0,0.439
345,Cam Spencer,24.0,MEM,25.0,10.1,4.2,0.415,0.365,1.0,14.2,0.587,0.634,6.3,16.9,1.7,0.4,6.2,15.4,0.8,0.5,0.2,2537989.0,0.585
346,Jaylen Clark,23.0,MIN,40.0,13.1,4.1,0.467,0.431,0.784,12.0,0.598,0.425,5.6,6.7,3.4,0.4,5.5,12.0,1.6,-0.2,0.2,2191897.0,0.598
347,Jalen Pickett,25.0,DEN,49.0,13.6,4.1,0.428,0.396,0.75,10.9,0.545,0.561,5.9,19.5,1.4,0.7,11.6,13.2,1.1,-1.5,0.1,2221677.0,0.61
348,Paul Reed,25.0,DET,45.0,9.7,4.1,0.507,0.286,0.762,18.6,0.573,0.197,15.6,14.0,4.3,5.4,13.9,18.0,1.6,2.9,0.5,5335894.0,0.537
349,Gui Santos,22.0,GSW,56.0,13.6,4.1,0.458,0.33,0.69,11.7,0.575,0.575,12.1,14.2,1.6,1.2,17.5,13.2,1.7,-1.7,0.1,2221677.0,0.585
350,Jarred Vanderbilt,25.0,LAL,36.0,16.1,4.1,0.488,0.281,0.556,13.2,0.537,0.264,17.6,9.4,3.0,1.6,17.5,12.5,1.4,-1.0,0.2,11571429.0,0.61
351,Nicolas Batum,36.0,LAC,78.0,17.5,4.0,0.437,0.433,0.81,10.3,0.633,0.853,9.0,7.8,1.9,2.6,12.1,9.0,3.5,0.8,1.0,5601600.0,0.61
