,Unnamed: 0,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement,Salary,Win_Pct,Salary_log,Archetype_ID,Player_Archetype,Predicted_Salary,Value_Gap
234,234,Larry Nance Jr.,32.0,ATL,24.0,19.3,8.5,0.516,0.447,0.692,16.0,0.632,0.49,12.2,11.3,2.0,2.6,9.1,15.7,1.3,1.8,0.4,2296274.0,0.488,14.646798802768483,6,Versatile Player,7070034.511535032,-4773760.511535032
235,235,Cason Wallace,21.0,OKC,68.0,27.6,8.4,0.474,0.356,0.811,12.3,0.562,0.425,6.5,11.5,3.1,1.9,10.5,12.8,5.2,1.0,1.5,5820240.0,0.829,15.576852227785002,5,3&D Specialist,7441884.422591954,-1621644.4225919535
236,236,Bruce Brown,28.0,NOP,41.0,22.5,8.3,0.421,0.333,0.815,10.9,0.504,0.262,9.6,12.8,1.8,1.0,10.4,17.2,0.7,-3.8,-0.4,2296274.0,0.256,14.646798802768483,1,Low Efficiency Creator,4105525.6708538844,-1809251.6708538844
237,237,Brandon Clarke,28.0,MEM,64.0,18.9,8.3,0.621,0.059,0.701,17.6,0.638,0.045,14.3,7.4,2.0,2.7,8.9,15.3,4.4,0.8,0.9,12500000.0,0.585,16.341239282272525,4,Defensive Anchor / Elite Rebounder,9392688.150913332,3107311.8490866683
238,238,Keon Ellis,25.0,SAC,80.0,24.4,8.3,0.489,0.433,0.849,13.5,0.664,0.692,6.1,8.0,3.0,3.2,12.4,12.7,5.0,1.9,1.9,2301587.0,0.488,14.649109877441546,5,3&D Specialist,7697544.078248037,-5395957.078248037
239,239,Brandon Williams,25.0,DAL,33.0,14.8,8.3,0.521,0.4,0.833,18.3,0.634,0.319,6.5,23.2,2.4,0.9,15.2,22.6,1.3,1.0,0.4,2270735.0,0.476,14.635614565981587,6,Versatile Player,3322705.266214401,-1051970.266214401
240,240,Mike Conley,37.0,MIN,71.0,24.7,8.2,0.4,0.41,0.9,13.3,0.573,0.662,5.7,24.5,2.2,0.7,12.9,14.4,5.2,1.2,1.4,10774038.0,0.598,16.19265000204157,5,3&D Specialist,9050657.848793676,1723380.1512063239
241,241,Taurean Prince,30.0,MIL,80.0,27.1,8.2,0.457,0.439,0.813,9.8,0.613,0.652,7.2,9.4,1.7,0.6,13.3,12.5,3.5,-1.7,0.1,3303774.0,0.585,15.010576312030537,5,3&D Specialist,5146394.771587924,-1842620.771587924
242,242,Jalen Smith,24.0,CHI,64.0,15.0,8.2,0.466,0.324,0.809,18.7,0.586,0.544,19.5,9.7,0.8,4.0,7.6,21.0,2.9,0.9,0.7,9000000.0,0.476,16.012735246411598,6,Versatile Player,5314633.66298434,3685366.3370156595
243,243,Quinten Post,24.0,GSW,42.0,16.3,8.1,0.449,0.408,0.778,14.2,0.595,0.653,11.6,12.2,1.1,2.5,10.3,19.6,1.7,0.1,0.4,1955377.0,0.585,14.48609408309546,6,Versatile Player,3019333.6862253547,-1063956.6862253547
244,244,Peyton Watson,22.0,DEN,68.0,24.4,8.1,0.477,0.353,0.693,11.4,0.564,0.318,7.7,7.0,1.4,5.0,10.3,13.9,2.5,-1.8,0.1,4356476.0,0.61,15.28717426117208,5,3&D Specialist,4344549.11198201,11926.888017989695
245,245,Davion Mitchell,26.0,TOR,74.0,27.4,7.9,0.468,0.398,0.69,10.2,0.573,0.443,4.5,24.2,1.7,0.8,20.0,13.6,3.0,-2.6,-0.3,11600000.0,0.366,16.266515742283485,1,Low Efficiency Creator,7997539.037631126,3602460.962368874
246,246,Caleb Martin,29.0,PHI,45.0,27.1,7.9,0.424,0.359,0.622,9.6,0.513,0.339,8.2,10.7,1.9,1.8,13.9,14.4,0.6,-3.2,-0.4,9594044.0,0.293,16.076653151464665,1,Low Efficiency Creator,6389336.820496106,3204707.1795038944
247,247,Day'Ron Sharpe,23.0,BRK,50.0,18.1,7.9,0.521,0.244,0.757,19.7,0.568,0.142,20.7,16.8,2.3,4.6,15.3,19.9,2.7,0.9,0.7,6250000.0,0.317,15.648092181712572,4,Defensive Anchor / Elite Rebounder,5585997.278131461,664002.7218685392
248,248,Terance Mann,28.0,LAC,67.0,21.1,7.7,0.496,0.368,0.691,12.0,0.584,0.395,7.8,11.7,1.6,1.0,9.6,14.7,3.0,-1.3,0.2,15500000.0,0.61,16.5563506464056,5,3&D Specialist,8613903.11349972,6886096.88650028
249,249,Karlo MatkoviÄ‡,23.0,NOP,42.0,18.8,7.7,0.574,0.318,0.773,15.6,0.639,0.281,14.2,8.6,1.3,5.0,14.5,15.9,1.6,-2.0,0.0,1955377.0,0.256,14.48609408309546,4,Defensive Anchor / Elite Rebounder,3195231.714564177,-1239854.7145641772
250,250,AJ Johnson,20.0,WAS,29.0,22.0,7.6,0.385,0.267,0.865,7.1,0.48,0.423,4.8,17.1,0.9,0.4,13.2,17.4,-0.4,-8.1,-1.0,3090480.0,0.22,14.943837300190054,1,Low Efficiency Creator,3953463.933611688,-862983.9336116882
251,251,Lonzo Ball,27.0,CHI,35.0,22.2,7.6,0.366,0.344,0.815,12.2,0.524,0.802,8.0,18.9,2.8,1.9,13.9,15.9,1.2,0.2,0.4,10000000.0,0.476,16.118095750958314,2,Low Impact / End of Bench,7045547.392003033,2954452.6079969667
252,252,Matisse Thybulle,27.0,POR,15.0,20.8,7.5,0.477,0.438,0.467,17.0,0.592,0.545,9.0,12.7,5.1,2.6,12.1,14.4,0.9,5.0,0.6,11550000.0,0.439,16.26219608151216,6,Versatile Player,7745246.7266217135,3804753.2733782865
253,253,A.J. Green,25.0,MIL,73.0,22.7,7.4,0.429,0.427,0.815,9.2,0.621,0.856,5.7,8.5,1.1,0.4,8.4,12.6,2.8,-2.2,-0.1,2301587.0,0.585,14.649109877441546,5,3&D Specialist,3583734.0600488475,-1282147.0600488475
254,254,Josh Green,24.0,CHO,68.0,27.8,7.4,0.428,0.391,0.681,7.8,0.559,0.589,4.9,8.2,1.9,0.8,13.4,11.8,1.5,-4.3,-1.1,13666667.0,0.232,16.430470433561442,1,Low Efficiency Creator,6701531.177926094,6965135.822073906
255,255,Ricky Council IV,23.0,PHI,73.0,17.1,7.3,0.382,0.258,0.804,11.6,0.502,0.46,9.7,11.4,1.3,1.0,8.9,20.3,0.6,-4.3,-0.7,2221677.0,0.293,14.613773324189143,1,Low Efficiency Creator,2805409.161814773,-583732.161814773
256,256,Andre Drummond,31.0,PHI,40.0,18.8,7.3,0.5,0.15,0.622,16.0,0.535,0.085,23.4,6.8,2.6,2.4,16.7,19.1,1.2,-3.2,-0.2,5000000.0,0.293,15.424948670398354,4,Defensive Anchor / Elite Rebounder,5445405.649058982,-445405.6490589818
257,257,Tre Jones,25.0,SAS,46.0,19.7,7.2,0.538,0.396,0.821,16.3,0.617,0.202,6.8,28.6,1.9,1.0,11.6,14.1,2.9,1.5,0.8,8000000.0,0.415,15.894952224644102,6,Versatile Player,6721027.916538815,1278972.083461185
258,258,Goga Bitadze,25.0,ORL,70.0,20.4,7.2,0.611,0.107,0.639,19.2,0.631,0.083,18.6,14.8,1.7,6.6,15.3,14.3,5.8,2.5,1.6,8333333.0,0.5,15.93577417416436,4,Defensive Anchor / Elite Rebounder,8640093.321564155,-306760.3215641547
259,259,Tristan Da Silva,23.0,ORL,74.0,22.0,7.2,0.412,0.335,0.873,9.9,0.522,0.495,8.6,10.3,1.0,1.1,9.9,15.2,2.5,-2.6,-0.3,3809520.0,0.5,15.153014017414462,1,Low Efficiency Creator,3984976.268041991,-175456.26804199116
260,260,GG Jackson II,20.0,MEM,29.0,15.8,7.2,0.372,0.337,0.725,9.3,0.482,0.477,10.6,8.2,1.2,1.0,12.5,21.7,0.1,-5.3,-0.4,2221677.0,0.585,14.613773324189143,2,Low Impact / End of Bench,3444941.0010759225,-1223264.0010759225
261,261,Vit Krejci,24.0,ATL,57.0,20.2,7.2,0.497,0.437,0.711,12.7,0.661,0.705,7.4,16.5,1.5,2.1,13.8,12.9,2.6,0.7,0.8,2349578.0,0.488,14.669746721135084,5,3&D Specialist,5107953.049474286,-2758375.049474286
262,262,Sam Merrill,28.0,CLE,71.0,19.7,7.2,0.406,0.372,0.966,11.1,0.583,0.868,6.1,9.6,1.8,0.9,7.4,14.3,3.3,0.3,0.8,8482144.0,0.78,15.953473923895311,5,3&D Specialist,7444594.487982789,1037549.512017211
263,263,Josh Okogie,26.0,PHO,40.0,15.6,7.1,0.443,0.348,0.741,16.3,0.567,0.434,9.9,7.9,3.8,2.8,11.1,19.5,1.3,1.5,0.6,2296274.0,0.439,14.646798802768483,6,Versatile Player,3676363.0725476667,-1380089.0725476667
264,264,Jamison Battle,23.0,TOR,59.0,17.7,7.1,0.429,0.405,0.889,10.7,0.59,0.746,8.1,7.1,0.8,0.9,7.1,15.3,1.7,-2.3,-0.1,1955377.0,0.366,14.48609408309546,5,3&D Specialist,2480912.617500757,-525535.6175007569
265,265,Alex Caruso,30.0,OKC,54.0,19.3,7.1,0.446,0.353,0.824,15.9,0.568,0.541,8.2,16.6,4.0,2.9,9.9,15.2,3.9,4.0,1.6,18102000.0,0.829,16.711533042611766,6,Versatile Player,11007483.154111736,7094516.8458882645
266,266,Jamal Shead,22.0,TOR,75.0,19.6,7.1,0.405,0.323,0.768,9.9,0.499,0.442,4.2,29.8,1.9,0.7,18.0,18.6,0.8,-4.1,-0.8,1955377.0,0.366,14.48609408309546,1,Low Efficiency Creator,2934696.132140379,-979319.1321403789
267,267,Isaiah Jackson,23.0,IND,5.0,16.8,7.0,0.609,0.0,0.5,18.2,0.6,0.0,18.6,8.1,1.7,8.6,14.6,17.6,0.3,0.8,0.1,7600000.0,0.61,15.843658936835498,4,Defensive Anchor / Elite Rebounder,4560783.267555211,3039216.7324447893
268,268,Jake LaRavia,23.0,MEM,66.0,20.4,6.9,0.475,0.423,0.678,12.6,0.591,0.421,10.3,14.6,2.2,1.6,18.2,14.4,2.9,0.2,0.8,6000000.0,0.585,15.607270193858982,6,Versatile Player,5880252.380290304,119747.61970969569
269,269,Ryan Dunn,22.0,PHO,74.0,19.1,6.9,0.43,0.311,0.487,10.7,0.517,0.553,10.6,5.7,1.5,2.7,7.5,16.7,1.0,-4.1,-0.7,2657760.0,0.439,14.792994596981533,1,Low Efficiency Creator,2980429.7643364896,-322669.7643364896
270,270,Jay Huff,26.0,MEM,64.0,11.7,6.9,0.515,0.405,0.786,18.2,0.666,0.656,9.1,7.0,1.0,6.9,9.3,19.6,2.5,3.5,1.1,2349578.0,0.585,14.669746721135084,6,Versatile Player,3670761.881930567,-1321183.8819305669
271,271,Eric Gordon,36.0,PHI,39.0,19.7,6.8,0.426,0.409,0.75,10.8,0.591,0.672,3.4,12.0,1.7,1.5,11.1,14.4,0.9,-1.6,0.1,2296274.0,0.293,14.646798802768483,5,3&D Specialist,3335882.2486916916,-1039608.2486916916
272,272,Jaxson Hayes,24.0,LAL,56.0,19.5,6.8,0.722,0.0,0.622,15.8,0.72,0.013,13.9,7.5,1.4,4.4,13.9,12.4,3.7,-0.3,0.5,3449323.0,0.61,15.053688827779409,4,Defensive Anchor / Elite Rebounder,5020889.964273122,-1571566.9642731221
273,273,Vasilije MiciÄ‡,31.0,CHO,41.0,19.1,6.6,0.348,0.36,0.829,6.5,0.462,0.458,6.0,24.3,0.9,0.0,20.9,19.9,-1.0,-7.0,-1.0,8109150.0,0.232,15.908503735038312,1,Low Efficiency Creator,6374901.345120776,1734248.6548792236
274,274,Trayce Jackson-Davis,24.0,GSW,62.0,15.6,6.6,0.576,0.0,0.578,18.5,0.587,0.01,17.3,16.1,1.2,3.7,11.5,17.1,3.4,1.2,0.8,2221677.0,0.585,14.613773324189143,4,Defensive Anchor / Elite Rebounder,4456815.368450853,-2235138.368450853
275,275,Marcus Sasser,24.0,DET,57.0,14.2,6.6,0.463,0.382,0.843,14.0,0.589,0.514,4.7,22.9,2.2,0.5,14.5,19.4,1.8,-0.6,0.3,2886720.0,0.537,14.875631813864274,1,Low Efficiency Creator,3373285.2125958274,-486565.2125958274
276,276,Vince Williams Jr.,24.0,MEM,27.0,18.5,6.6,0.401,0.274,0.792,9.2,0.504,0.569,10.4,13.8,1.1,1.3,15.7,17.0,0.4,-2.8,-0.1,2301587.0,0.585,14.649109877441546,2,Low Impact / End of Bench,2948827.0403762134,-647240.0403762134
277,277,Thomas Bryant,27.0,IND,66.0,14.6,6.5,0.508,0.324,0.859,17.2,0.614,0.461,14.5,7.6,1.4,3.9,7.9,17.1,3.1,0.6,0.6,2296274.0,0.61,14.646798802768483,6,Versatile Player,3984467.8200091836,-1688193.8200091836
278,278,Donovan Clingan,20.0,POR,67.0,19.8,6.5,0.539,0.286,0.596,17.4,0.574,0.147,21.6,8.3,1.2,7.5,15.9,14.2,4.0,-0.3,0.6,7178400.0,0.439,15.786587214272783,4,Defensive Anchor / Elite Rebounder,6396299.883134137,782100.1168658631
279,279,Haywood Highsmith,28.0,MIA,74.0,24.6,6.5,0.458,0.382,0.721,9.9,0.583,0.596,7.7,8.4,1.9,2.0,11.6,11.3,3.3,-1.9,0.1,5616000.0,0.451,15.541130402750449,5,3&D Specialist,5124828.675166772,491171.32483322825
280,280,Ajay Mitchell,22.0,OKC,36.0,16.6,6.5,0.495,0.383,0.829,12.0,0.587,0.326,6.1,13.8,2.0,0.7,12.7,16.2,1.5,-1.6,0.1,3000000.0,0.829,14.914123179965662,6,Versatile Player,3516572.236637705,-516572.236637705
281,281,Gary Payton II,32.0,GSW,62.0,15.0,6.5,0.574,0.326,0.711,16.2,0.635,0.319,10.7,13.5,2.7,1.7,11.0,16.1,3.0,1.4,0.8,2296274.0,0.585,14.646798802768483,6,Versatile Player,4513757.837249814,-2217483.8372498136
282,282,Zach Collins,27.0,SAS,64.0,15.3,6.4,0.507,0.302,0.885,16.0,0.605,0.351,15.6,15.6,1.4,2.6,15.1,17.1,2.7,0.0,0.5,18080496.0,0.415,16.710344401488545,6,Versatile Player,7708771.146472348,10371724.853527652
283,283,Kris Dunn,30.0,LAC,74.0,24.1,6.4,0.439,0.335,0.682,11.3,0.531,0.513,8.0,15.6,3.5,1.5,14.2,12.7,4.0,0.6,1.2,5426400.0,0.61,15.50678667289823,5,3&D Specialist,7123711.44453547,-1697311.4445354696
284,284,Ron Holland,19.0,DET,81.0,15.6,6.4,0.474,0.238,0.754,11.1,0.556,0.363,9.5,8.9,1.9,1.3,13.3,18.1,1.8,-3.0,-0.3,8657280.0,0.537,15.973911258952626,1,Low Efficiency Creator,5203315.897531865,3453964.102468135
285,285,Gabe Vincent,28.0,LAL,72.0,21.2,6.4,0.4,0.353,0.714,7.4,0.536,0.736,3.4,8.7,1.6,0.8,8.7,13.5,1.3,-4.0,-0.8,11500000.0,0.61,16.257857680289998,5,3&D Specialist,4619566.174931418,6880433.825068582
286,286,Sandro Mamukelashvili,25.0,SAS,61.0,11.2,6.3,0.502,0.373,0.741,19.7,0.628,0.573,14.7,10.7,1.6,2.3,7.8,20.8,2.2,2.3,0.7,2461463.0,0.415,14.716266852844925,6,Versatile Player,3347591.759664595,-886128.7596645951
287,287,Kenrich Williams,30.0,OKC,69.0,16.4,6.3,0.483,0.386,0.718,13.7,0.587,0.483,11.4,11.0,1.8,0.9,9.5,15.4,3.6,0.6,0.7,7163000.0,0.829,15.78443958520289,5,3&D Specialist,7711643.666854863,-548643.666854863
288,288,Bones Hyland,24.0,LAC,24.0,10.0,6.2,0.398,0.39,0.885,16.0,0.576,0.695,5.9,20.1,3.7,1.7,16.2,28.2,0.5,2.7,0.3,2296274.0,0.61,14.646798802768483,6,Versatile Player,2927066.1726004155,-630792.1726004155
289,289,Jonathan Mogbo,23.0,TOR,63.0,20.4,6.2,0.438,0.243,0.732,11.9,0.496,0.197,13.0,15.3,2.1,2.5,15.1,15.0,1.9,-1.9,0.0,1955377.0,0.366,14.48609408309546,1,Low Efficiency Creator,2923657.4996877117,-968280.4996877117
290,290,Ryan Rollins,22.0,MIL,56.0,14.6,6.2,0.487,0.408,0.8,14.0,0.6,0.443,7.2,17.8,2.5,1.9,15.4,18.4,1.7,-0.5,0.3,4000000.0,0.585,15.201805169084134,6,Versatile Player,3398460.7281307247,601539.2718692753
291,291,Dru Smith,27.0,MIA,14.0,19.1,6.2,0.508,0.533,0.75,13.3,0.656,0.492,7.4,12.0,3.9,2.1,20.4,13.8,0.7,2.1,0.3,2378870.0,0.451,14.682136563350834,6,Versatile Player,3540134.5322456066,-1161264.5322456066
292,292,Isaac Okoro,24.0,CLE,55.0,19.1,6.1,0.464,0.371,0.717,10.7,0.587,0.566,6.7,8.0,1.5,1.4,7.4,12.5,2.5,-0.5,0.4,11000000.0,0.78,16.213405921671733,5,3&D Specialist,3938912.5379704656,7061087.462029534
293,293,Jarace Walker,21.0,IND,75.0,15.8,6.1,0.472,0.405,0.667,11.9,0.59,0.514,10.8,12.2,2.2,1.9,16.7,17.1,1.6,-0.9,0.3,6665520.0,0.61,15.712458678082251,6,Versatile Player,4701264.798495686,1964255.2015043143
294,294,N'Faly Dante,23.0,HOU,4.0,12.8,6.0,0.769,0.0,0.8,24.0,0.789,0.0,21.9,5.7,1.0,8.8,11.6,13.9,0.3,2.4,0.1,2048494.0,0.634,14.532615935155736,4,Defensive Anchor / Elite Rebounder,3583499.0053347507,-1535005.0053347507
295,295,Mouhamed Gueye,22.0,ATL,33.0,16.2,6.0,0.421,0.259,0.762,14.4,0.52,0.474,14.3,6.6,2.5,5.7,7.3,15.7,1.2,-0.6,0.2,2221677.0,0.488,14.613773324189143,6,Versatile Player,2783638.253258587,-561961.2532585869
296,296,Luke Kornet,29.0,BOS,73.0,18.6,6.0,0.668,0.0,0.691,19.6,0.683,0.011,15.5,11.9,1.3,4.8,8.8,11.4,7.0,3.3,1.8,11000000.0,0.744,16.213405921671733,4,Defensive Anchor / Elite Rebounder,8734406.955124244,2265593.044875756
297,297,Isaiah Stewart,23.0,DET,72.0,19.9,6.0,0.559,0.321,0.759,14.6,0.616,0.168,15.4,11.3,0.9,6.7,16.1,12.4,4.3,0.6,0.9,15000000.0,0.537,16.52356082573315,4,Defensive Anchor / Elite Rebounder,7850338.978847812,7149661.021152188
298,298,James Wiseman,23.0,IND,1.0,5.0,6.0,0.5,0.0,1.0,31.2,0.615,0.25,11.1,0.0,0.0,0.0,0.0,42.2,0.0,1.6,0.0,1000000.0,0.61,13.815511557963774,3,High Volume Inefficient Scorer,2729386.563389117,-1729386.563389117
299,299,Chuma Okeke,26.0,PHI,9.0,21.8,5.9,0.5,0.393,0.667,15.3,0.641,0.7,13.5,10.5,1.3,2.0,6.8,9.8,0.6,-0.2,0.1,2546675.0,0.293,14.750299537389344,6,Versatile Player,3347379.1035920274,-800704.1035920274
300,300,Kyle Anderson,31.0,GSW,61.0,16.4,5.9,0.469,0.357,0.738,15.1,0.538,0.231,11.2,20.7,2.0,3.1,10.0,15.9,2.8,1.5,0.9,9219512.0,0.585,16.03683277418114,6,Versatile Player,8711544.09159826,507967.9084017407
301,301,Simone Fontecchio,29.0,DET,75.0,16.5,5.9,0.402,0.335,0.833,9.7,0.544,0.609,9.6,6.9,1.2,0.9,11.6,15.8,1.6,-2.9,-0.3,8307692.0,0.537,15.932692510960289,5,3&D Specialist,5433549.423361857,2874142.5766381426
302,302,Collin Gillespie,25.0,PHO,33.0,14.0,5.9,0.43,0.433,0.864,16.8,0.578,0.57,9.4,24.0,2.3,1.0,9.2,17.7,1.3,2.5,0.5,2296274.0,0.439,14.646798802768483,6,Versatile Player,3096172.1225946243,-799898.1225946243
303,303,Tidjane SalaÃ¼n,19.0,CHO,60.0,20.7,5.9,0.33,0.283,0.713,7.7,0.457,0.594,12.0,8.5,1.1,1.1,13.1,15.2,0.0,-5.2,-1.0,7863240.0,0.232,15.877709420383136,1,Low Efficiency Creator,5115651.986112246,2747588.0138877537
304,304,Jaylin Williams,22.0,OKC,47.0,16.7,5.9,0.439,0.399,0.767,16.4,0.594,0.692,17.9,19.0,1.3,3.7,13.0,14.6,3.3,4.3,1.2,8450704.0,0.829,15.949760427805767,6,Versatile Player,6755092.021936343,1695611.978063657
305,305,Adem Bona,21.0,PHI,58.0,15.6,5.8,0.703,0.0,0.67,16.5,0.714,0.005,15.3,4.4,1.4,7.5,20.5,14.3,2.3,-2.7,-0.2,1955377.0,0.293,14.48609408309546,4,Defensive Anchor / Elite Rebounder,2699613.5126232556,-744236.5126232556
306,306,Robert Williams,27.0,POR,20.0,17.6,5.8,0.641,0.333,0.882,18.9,0.679,0.038,18.2,8.6,1.8,8.5,16.6,12.2,1.3,3.0,0.4,13285713.0,0.439,16.40219988055684,4,Defensive Anchor / Elite Rebounder,6190149.424791039,7095563.575208961
307,307,Moussa DiabatÃ©,23.0,CHO,71.0,17.5,5.7,0.596,0.0,0.595,16.5,0.609,0.021,18.8,6.8,1.8,3.2,15.6,13.4,3.2,-1.9,0.0,2270735.0,0.232,14.635614565981587,4,Defensive Anchor / Elite Rebounder,3504149.016371909,-1233414.016371909
308,308,Dariq Whitehead,20.0,BRK,20.0,12.3,5.7,0.406,0.446,0.6,9.4,0.58,0.771,6.7,7.8,1.2,0.4,13.3,20.1,0.1,-3.7,-0.1,3262560.0,0.317,14.9980230277563,2,Low Impact / End of Bench,3605574.8496149704,-343014.8496149704
309,309,Landry Shamet,27.0,NYK,50.0,15.2,5.7,0.461,0.397,0.667,9.7,0.601,0.678,4.6,4.7,1.5,0.2,8.5,14.8,1.0,-2.4,-0.1,2296274.0,0.622,14.646798802768483,5,3&D Specialist,2731927.7033420624,-435653.7033420624
310,310,Jordan Goodwin,26.0,LAL,29.0,18.7,5.6,0.438,0.382,0.818,12.1,0.541,0.472,11.6,10.5,2.7,1.9,14.9,14.1,1.0,-0.8,0.2,2349578.0,0.61,14.669746721135084,6,Versatile Player,3097615.412420438,-748037.4124204381
311,311,Shake Milton,28.0,LAL,57.0,14.7,5.5,0.453,0.358,0.797,11.9,0.563,0.417,7.0,18.3,1.5,0.5,12.5,16.7,1.3,-2.2,0.0,3000000.0,0.61,14.914123179965662,5,3&D Specialist,3905589.9537133197,-905589.9537133197
312,312,Aaron Holiday,28.0,HOU,62.0,12.8,5.5,0.437,0.398,0.829,12.2,0.594,0.675,5.2,14.3,1.2,1.2,11.5,16.8,2.0,-0.2,0.3,2296274.0,0.634,14.646798802768483,5,3&D Specialist,4387233.60813197,-2090959.6081319703
313,313,Jeff Green,38.0,HOU,32.0,12.4,5.4,0.504,0.367,0.808,13.6,0.649,0.653,7.8,7.0,0.7,0.9,6.4,14.7,1.3,0.4,0.2,2296274.0,0.634,14.646798802768483,5,3&D Specialist,3056534.0719288187,-760260.0719288187
314,314,Jonathan Isaac,27.0,ORL,71.0,15.4,5.4,0.414,0.258,0.682,16.6,0.512,0.466,16.5,5.5,2.8,7.0,8.2,16.2,3.4,0.7,0.7,15000000.0,0.5,16.52356082573315,6,Versatile Player,7759138.980275301,7240861.019724699
315,315,Dean Wade,28.0,CLE,59.0,21.2,5.4,0.413,0.36,0.533,10.1,0.563,0.819,10.8,7.3,1.6,1.4,7.2,10.4,3.0,0.3,0.7,6623456.0,0.78,15.706127997049448,5,3&D Specialist,6425247.181773767,198208.81822623312
316,316,Kobe Bufkin,21.0,ATL,10.0,12.4,5.3,0.383,0.211,0.722,10.5,0.483,0.404,9.3,18.2,1.1,1.5,12.7,20.8,0.0,-4.0,-0.1,4503720.0,0.488,15.320414501945164,2,Low Impact / End of Bench,4633976.157643792,-130256.15764379222
317,317,Pat Connaughton,32.0,MIL,41.0,14.7,5.3,0.469,0.321,0.774,12.1,0.567,0.458,9.8,15.8,0.7,1.7,11.2,15.6,1.2,-2.3,0.0,9423869.0,0.585,16.058756390211297,5,3&D Specialist,5339826.4445489235,4084042.5554510765
318,318,Kevin Love,36.0,MIA,23.0,10.9,5.3,0.357,0.358,0.696,16.2,0.488,0.583,20.7,13.1,3.0,1.5,10.1,24.6,0.4,0.4,0.2,4150000.0,0.451,15.238619133170708,6,Versatile Player,4514303.069018996,-364303.0690189963
319,319,Ben Sheppard,23.0,IND,63.0,19.5,5.3,0.418,0.342,0.889,9.2,0.555,0.693,8.0,8.6,1.5,1.0,6.9,11.3,2.1,-2.0,0.0,2790720.0,0.61,14.84181054335116,5,3&D Specialist,3232690.190159627,-441970.19015962677
320,320,Javonte Green,31.0,NOP,68.0,18.5,5.1,0.429,0.326,0.724,10.7,0.541,0.491,9.4,5.9,2.5,2.4,9.1,11.8,1.6,-2.3,-0.1,2296274.0,0.256,14.646798802768483,1,Low Efficiency Creator,3535009.1251910734,-1238735.1251910734
321,321,Bismack Biyombo,32.0,SAS,28.0,18.9,5.1,0.588,0.0,0.4,12.2,0.576,0.0,16.0,7.9,1.5,3.9,17.8,12.3,0.8,-3.6,-0.2,2296274.0,0.415,14.646798802768483,4,Defensive Anchor / Elite Rebounder,3373342.7129761497,-1077068.7129761497
322,322,Mitchell Robinson,26.0,NYK,17.0,17.1,5.1,0.661,0.0,0.684,20.4,0.676,0.0,20.0,5.9,2.7,5.8,13.4,11.1,1.3,3.3,0.4,12954546.0,0.622,16.37695740417285,4,Defensive Anchor / Elite Rebounder,5928161.2714349115,7026384.7285650885
323,323,Malaki Branham,21.0,SAS,47.0,9.1,5.0,0.458,0.405,0.818,12.0,0.575,0.442,6.4,13.4,1.2,0.4,14.3,23.8,0.1,-3.2,-0.1,4962033.0,0.415,15.417326295286184,1,Low Efficiency Creator,4294408.784458089,667624.2155419113
324,324,Neemias Queta,25.0,BOS,62.0,13.9,5.0,0.65,0.0,0.754,16.3,0.674,0.015,14.9,7.4,1.0,4.5,14.8,13.7,3.2,-0.7,0.3,2349578.0,0.744,14.669746721135084,4,Defensive Anchor / Elite Rebounder,3202983.8497045427,-853405.8497045427
325,325,Lindy Waters III,27.0,GSW,52.0,15.0,4.9,0.369,0.344,0.727,8.8,0.504,0.747,7.6,9.1,1.7,1.3,7.3,14.8,1.0,-2.8,-0.2,2296274.0,0.585,14.646798802768483,2,Low Impact / End of Bench,2970849.750346226,-674575.7503462262
326,326,Jock Landale,29.0,HOU,42.0,11.9,4.8,0.533,0.423,0.675,16.0,0.59,0.171,14.6,10.3,1.3,1.8,11.0,15.7,1.7,0.4,0.3,10296274.0,0.634,16.14729273730312,6,Versatile Player,5614048.797555173,4682225.202444827
327,327,Taylor Hendricks,21.0,UTA,3.0,25.0,4.7,0.222,0.25,0.75,7.1,0.354,0.667,10.8,3.4,3.2,5.0,9.2,12.1,0.0,-3.5,0.0,6127080.0,0.207,15.62822901179341,2,Low Impact / End of Bench,5024363.276080027,1102716.7239199728
328,328,Drew Eubanks,27.0,UTA,61.0,12.2,4.6,0.593,0.5,0.662,15.6,0.622,0.031,16.5,10.6,0.8,5.0,15.4,15.1,1.7,-0.7,0.3,2296274.0,0.207,14.646798802768483,4,Defensive Anchor / Elite Rebounder,3087699.526903319,-791425.5269033192
329,329,Pelle Larsson,23.0,MIA,55.0,14.2,4.6,0.438,0.337,0.672,10.2,0.546,0.468,6.5,11.6,2.0,0.9,9.5,14.4,1.4,-3.1,-0.2,1955377.0,0.451,14.48609408309546,2,Low Impact / End of Bench,2451713.4432838145,-496336.4432838145
330,330,Julian Phillips,21.0,CHI,79.0,14.2,4.6,0.446,0.327,0.789,10.2,0.571,0.533,7.9,4.4,1.6,1.5,7.8,12.9,1.9,-3.0,-0.3,2221677.0,0.476,14.613773324189143,5,3&D Specialist,3160984.7825236237,-939307.7825236237
