,Unnamed: 0,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement,Salary,Win_Pct,Salary_log,Archetype_ID,Player_Archetype,Predicted_Salary,Value_Gap
163,163,Terry Rozier,30.0,MIA,64.0,25.9,10.6,0.391,0.295,0.852,10.5,0.497,0.485,7.9,14.8,1.1,0.8,10.3,20.4,1.0,-3.7,-0.7,26643031.0,0.451,17.098038210973975,1,Low Efficiency Creator,11578776.19991778,15064254.80008222
164,164,Obi Toppin,26.0,IND,79.0,19.6,10.5,0.529,0.365,0.781,17.4,0.642,0.503,11.5,11.9,1.4,1.6,9.5,20.1,4.3,1.7,1.4,14000000.0,0.61,16.454567959008102,5,3&D Specialist,10760461.97184106,3239538.0281589404
165,165,Jonas ValanÄiÅ«nas,32.0,WAS,81.0,18.8,10.4,0.55,0.216,0.879,20.8,0.602,0.059,22.0,17.6,1.2,2.8,14.6,22.8,4.3,0.6,1.0,10395000.0,0.22,16.156835575474343,4,Defensive Anchor / Elite Rebounder,9780844.448987493,614155.5510125067
166,166,Ochai Agbaji,24.0,TOR,64.0,27.2,10.4,0.498,0.399,0.708,12.0,0.601,0.474,7.5,7.9,1.6,1.6,8.9,14.6,3.1,-0.7,0.5,6383525.0,0.366,15.669231167234951,5,3&D Specialist,6322727.753367702,60797.246632298455
167,167,Jaylen Wells,21.0,MEM,79.0,25.9,10.4,0.425,0.352,0.822,10.5,0.56,0.58,6.9,8.4,1.0,0.4,8.6,15.9,3.5,-2.2,-0.1,1955377.0,0.585,14.48609408309546,5,3&D Specialist,3829546.9165206337,-1874169.9165206337
168,168,Grant Williams,26.0,CHO,16.0,29.9,10.4,0.439,0.365,0.838,11.5,0.596,0.602,9.1,11.3,1.8,2.7,16.7,14.8,0.7,-1.6,0.1,13645500.0,0.232,16.428920428196594,1,Low Efficiency Creator,7915050.237821191,5730449.762178809
169,169,Kevin Porter Jr.,24.0,LAC,75.0,19.8,10.3,0.449,0.311,0.769,15.4,0.531,0.271,10.4,25.9,2.7,0.9,15.8,25.4,2.2,-0.6,0.5,5134000.0,0.61,15.451395835193102,1,Low Efficiency Creator,5808370.40235166,-674370.4023516597
170,170,Jose Alvarado,26.0,NOP,56.0,24.4,10.3,0.392,0.359,0.811,13.4,0.523,0.593,5.4,27.3,2.6,1.0,13.4,19.8,1.2,-1.4,0.2,4500000.0,0.256,15.319588176962746,1,Low Efficiency Creator,5674138.054506692,-1174138.054506692
171,171,Nic Claxton,25.0,BRK,70.0,26.9,10.3,0.563,0.238,0.513,16.5,0.569,0.037,15.5,13.7,1.6,5.3,12.0,16.8,4.3,0.4,1.1,25352272.0,0.317,17.04837894867611,4,Defensive Anchor / Elite Rebounder,13597433.364359338,11754838.635640662
172,172,Herbert Jones,26.0,NOP,20.0,32.4,10.3,0.436,0.306,0.825,10.4,0.541,0.419,6.5,13.8,2.8,1.3,15.6,14.6,0.4,-3.6,-0.3,13937574.0,0.256,16.45009898833605,1,Low Efficiency Creator,7607173.883764277,6330400.116235723
